code,countries,category,name,centroid,activationTime,lastUpdate,drmPhase,closed,n_aois,n_products,search_snippet,past_items_search_text
EMSR847,"[{'short_name': 'Cuba'}, {'short_name': 'Haiti'}, {'short_name': 'Jamaica'}]","{'slug': 'storm', 'name': 'Storm'}",Tropical Cyclone Melissa in the Caribbean,POINT (-76.73031441425942 17.98150514565106),2025-10-26T02:43:00,2025-11-28T13:40:18.377013,response,True,39,67,"On 25 October 2025 at 20:00, Tropical Storm Melissa is forecast to affect Jamaica and the southern peninsula of Haiti. The event is expected to cause damage to housing, infrastructure, and transport networks due to heavy rainfall, strong winds, flooding, and landslides. Hurricane conditions are f...",
EMSR846,[{'short_name': 'Panama'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in  Panama,POINT (-82.46018564939551 8.703691099706878),2025-10-16T12:18:00,2025-10-17T18:33:52.032024,response,True,1,1,"On the 14 October 2025, a heavy rainfall is reported to have affected the north-western region of Panama. The event is on-going and the Panamanian Ministry of Agricultural Development (MIDA) has requested an assessment of the impact of these rains and possible flash floods in the area. Copernicus...",
EMSR845,[{'short_name': 'Mexico'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Mexico,POINT (-97.56255039707294 20.65388145999167),2025-10-13T22:53:00,2025-10-20T14:25:56.635286,response,True,6,9,"On the 11 October 2025,  heavy rains have affected multiple states across Mexico, leading to a major humanitarian crisis. The event caused severe flooding and landslides; according to the media, thousands of houses have been flooded or damaged by mud and debris. Copernicus EMS Rapid Mapping was r...",
EMSR844,[{'short_name': 'Viet Nam'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Viet Nam,POINT (106.12861870892584 21.199903384287122),2025-10-11T03:40:00,2025-10-17T12:24:57.450938,response,True,1,4,"On the 8 of October 2025 at 3 a.m., a flood is reported to have affected Viet Nam (Cau River, Thuong River, Ca Lo River and Day River areas).
The event is ongoing and increasing, it  affected 222,856 houses, trains connection, telecommunication and crops with damage, fifteen human losses have be...",
EMSR843,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Italy,POINT (9.14224262916911 45.62562627809529),2025-09-22T14:42:00,2025-09-29T11:40:10.982041,response,True,2,3,"On 22 September 2025 at the early hours of the morning, a severe storm was reported to have affected northern Italy, particularly the Lombardy region, including the city of Milan and its surroundings. The event was ongoing and spreading, with significant flooding reported due to the overflow of t...",
EMSR842,"[{'short_name': 'Portugal'}, {'short_name': 'Spain'}]","{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Spain and Portugal,POINT (-6.972019 41.975269),2025-09-19T09:53:00,2025-09-25T12:02:09.433187,response,True,2,2,,
EMSN224,[{'short_name': 'Romania'}],"{'slug': 'flood', 'name': 'Flood'}","Flood Extent and Damage Assessment in Suceava and Neamț, Romania (July 2025)",POINT (25.63711 47.28421),2025-09-18T00:00:00,2025-12-18T16:00:26.257520,recovery,True,1,2,"On 27 and 28 July 2025, severe hydro-meteorological events caused major flooding in the counties of Suceava and Neamț, Romania. The Romanian authorities responded using motor pumps to remove water from affected households. To support the emergency and recovery efforts, the Copernicus Risk and Rec...",
EMSR841,[{'short_name': 'Sweden'}],"{'slug': 'flood', 'name': 'Flood'}","Flood in Vasternorrland County, Sweden",POINT (17.93 63.47),2025-09-11T13:16:00,2025-09-15T16:26:16.707306,response,True,2,5,"On the 06 September 2025 at 08:00, a severe rainstorm and subsequent flooding were reported to have affected Vasternorrland County, Sweden. The event was reported to have affected buildings and transport infrastructure, and entire villages were cut off, while additional heavy rainfall was forecas...",
EMSR839,[{'short_name': 'Afghanistan'}],"{'slug': 'earthquake', 'name': 'Earthquake'}",Earthquake in Afghanistan,POINT (70.59 34.57),2025-09-01T10:00:00,2025-09-11T09:26:10.985781,response,True,13,27,"At 19:17 UTC on Sunday 31 August (23:47 local time), a magnitude 6.0 earthquake hit the province of Konarha in Afghanistan. Given its magnitude and the vulnerability of the affected population, this earthquake was expected to have a significant humanitarian impact. Copernicus EMS Rapid Mapping ha...",
EMSR838,[{'short_name': 'Pakistan'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Pakistan,POINT (70.609131 28.931247),2025-08-29T11:45:00,2025-09-11T12:16:00.165416,response,True,11,25,"On the 15 August 2025 at 00:00, a flash flood event during the monsoon season was reported to have affected Punjab and Khyber Pakhtunkhwa provinces, Pakistan. The event was on-going and spreading, with damage reported to buildings, infrastructure, and agriculture. Loss of life has been recorded,...",
EMSR837,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires in West Spain,POINT (-6.409571 42.551839),2025-08-15T13:04:00,2025-09-08T18:15:43.690945,response,True,17,69,"Since the second week of August 2025, several forest fires have affected the West Spain, impacting civil protection. This area included several towns and cities, major roads, and railways. Copernicus EMS Rapid Mapping was requested to provide initial rough estimation, wildfire extent and damage a...",
EMSR836,[{'short_name': 'Montenegro'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires in Montenegro,POINT (19.305531 42.491188),2025-08-15T07:20:00,2025-09-02T08:41:08.162163,response,True,6,19,"From 10 August, wildfires have affected various parts of Montenegro. The event affected mostly around Podgorica, the capital. Copernicus EMS Rapid Mapping was requested to provide initial rough estimation, wildfire extent and damage assessment emergency mapping.",
EMSN223,[{'short_name': 'Germany'}],"{'slug': 'other', 'name': 'Other'}","Country-wide economic asset mapping for Germany, 2025 update",POINT (10.47841 50.96566),2025-08-14T00:00:00,2025-09-19T07:35:38.733860,preparedness,True,1,2,"This activation is requested by the Federal Office of Civil Protection and Disaster Assistance (BBK). It aims to generate a highly detailed asset map for Germany, expressing monetary values per area in EUR/m². It is an update of the already existing Basic European Asset Map (BEAM) of Germany and...",
EMSR835,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Ipeiros, Greece",POINT (20.914864 39.266658),2025-08-12T20:26:00,2025-08-19T17:19:19.511508,response,True,1,4,"On the  12 August 2025 at 06:59 UTC, a Wildfire started in Ipeiros Region, Greece, 15 Km north from the city of Arta,  rapidly spreading towards the settlements of Rizovouni, Zervos, Ziropoli and Galatas. The event was spreading, with damage reported to affect buildings, infrastructure, and fores...",
EMSR834,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Chios, Greece",POINT (25.90782 38.48951),2025-08-12T14:00:00,2025-08-18T20:43:40.779694,response,True,1,3,"On the 12 August 2025 at 11:17 UTC, a wildfire was reported to have affected Chios Island, Greece, approximately 2 km north of the village Nea Potamia, rapidly spreading towards the settlements of Pirama, Parparia, Volissos, Limnia, Limnos, Chori, and Spartouda. The event related damages were rep...",
EMSR833,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfires in Western Greece region, Greece",POINT (21.644298 38.105661),2025-08-12T13:56:00,2025-08-20T23:17:19.661533,response,True,2,2,"On the 12 August 2025 at 09:40, a wildfire was reported to have affected Western Greece region. The event was increasing rapidly, threatening the settlements of Agios Stefanos, Agios Nikolaos, Krali, Katsaiteika, Kato Mazaraki, Thomeika and Kapeli. Residents of those settlements had to be evacuat...",
EMSR832,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfires in Zakynthos island, Greece.",POINT (20.790618 37.727495),2025-08-12T12:24:00,2025-08-14T14:17:35.626800,response,True,1,2,"On the 12 August 2025 at 04:00 UTC, a wildfire was reported to have affected Zakynthos island, Greece. The event was is increasing rapidly, threatening the settlements of Keri and Agalas. Residents of those settlements had to be evacuated. 29 vehicles, 1 airplane and 4 helicopters were used for f...",
EMSR831,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Beiras e Serra da Estrela, Portugal",POINT (-7.36469 40.77632),2025-08-11T06:13:00,2025-08-26T02:12:42.052799,response,True,2,20,"On the 09 August 2025, a wildfire is reported to have affected Fregues, in Beiras e Serra da Estrela, Portugal. On 10 August 2025, after approximately 26 hours of continuous burning, the resources engaged included 500 personnel, 163 ground assets, and 6 aerial means. The estimated affected area h...",
EMSR830,[{'short_name': 'Italy'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Campania, Italy",POINT (14.469047 40.815184),2025-08-09T17:45:00,2025-08-14T06:30:39.751856,response,True,1,5,,
EMSR829,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Western Greece, Greece",POINT (21.52069 37.694767),2025-08-09T11:32:00,2025-08-12T15:33:11.839204,response,True,1,1,"On the 08 August 2025 at 15:22 UTC, a serious wildfire is reported to have affected Western Greece Region, near Hrakleia village, 12 Km east from the city of Pyrgos, Greece. A large number of firefighters, volunteers, fire engines, water tankers, construction machinery, airplanes and helicopters...",
EMSR828,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Attica, Greece",POINT (24.022022 37.711363),2025-08-08T14:23:00,2025-08-11T11:39:57.183829,response,True,1,3,"On the 08 August 2025 at 11:04 UTC, a wildfire was reported to have affected the area of Keratea settlement, southeast of Athens, in the Attica Region, Greece, rapidly spreading towards the settlements of Sinterina, Drosia, Dimolaki, Maliasteka, and Charvalo. The event is on-going and spreading,...",
EMSR827,[{'short_name': 'Germany'}],"{'slug': 'other', 'name': 'Other'}","Public Event in Bavaria, Germany",POINT (10.412389 49.066077),2025-08-08T13:17:00,2025-08-18T13:01:30.169206,response,True,1,6,"On the 12 August 2025 at 00:00, the Summer Breeze Festival 2025 will take place in Dinkelsbühl, Middle Franconia District, Bavaria, Germany, attracting tens of thousands of attendees. Copernicus EMS Rapid Mapping is requested to provide emergency mapping of infrastructure for the use of possible...",
EMSR826,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Spain,POINT (-2.734336 39.89176),2025-08-08T08:57:00,2025-08-11T12:48:38.503732,response,True,1,1,"On 28 July at 23:10, a wildfire started in Cuevas del Valle (Ávila), Castilla y León. The fire was brought under control on 1 August 2025. Detailed maps of the affected surface and vegetation are needed. Copernicus EMS Rapid Mapping is requested to provide damage assessment emergency mapping.",
EMSR825,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Central Macedonia, Greece",POINT (23.120728 40.643136),2025-07-30T08:50:00,2025-08-02T20:40:57.162425,response,True,1,1,,
EMSR824,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Portugal,POINT (-8.30275 41.456108),2025-07-29T18:42:00,2025-08-07T17:29:01.537574,response,True,3,14,"Since 27th July, the number of wildfires in Portugal had continued to increase, with 60 active incidents reported. Three of these fires had been burning for over 24 hours. Due to the persistence of the fires in Arouca, Ponte da Barca and Vila Real, EMS Copernicus activation was requested. Coperni...",
EMSR823,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Crete Island, Greece",POINT (23.738022 35.278698),2025-07-27T10:23:00,2025-07-28T16:07:58.793810,response,True,1,1,"On 26/07/2025 approximately at 12:29 (UTC), a wildfire started near the Strati settlement, 8 Km Northeast of Palaiochora village, in the Southwest part of Crete Island. The fire expanded rapidly and residents of Strati, Asfadeles, Platanes, Anidri and Achladakies had to be evacuated, and a 112 ce...",
EMSR822,[{'short_name': 'Bulgaria'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Bulgaria and Republic of Serbia,POINT (23.416672 41.721618),2025-07-26T20:04:00,2025-08-05T11:46:28.844961,response,True,3,10,"On 26 July 2025, two wildfires were reported to have affected the area near Strumyany in the Blagoevgrad region and the village of Rani Lug in the Pernik region, as well as the districts of Yambol and Haskovo in Bulgaria. The fires expanded rapidly due to high temperatures and strong winds. Coper...",
EMSR820,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in East Attica, Greece",POINT (23.802395 38.169519),2025-07-26T19:02:00,2025-07-28T13:24:34.744611,response,True,1,1,"On the 26 July 2025 at 18:24 (CET), a wildfire was reported to have affected the area near Krioneri, in the outskirts of Athens, Greece. The fire expanded rapidly; residents of Krioneri and Drosopigi had to be evacuated, and a 112 cell-broadcasting message was sent for this purpose. Ground forces...",
EMSR821,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Peloponnese, Greece",POINT (21.790352 37.231148),2025-07-26T19:02:00,2025-07-28T15:11:33.550671,response,True,1,2,"On the 26 July 2025 at 15:08 (CET), a wildfire was reported to have affected the area very close to Aetos in Peloponnese Region, Greece. The fire expanded rapidly; residents of Aetos and Monastiri had to be evacuated, and a 112 cell-broadcasting message was sent for this purpose. Ground forces an...",
EMSR819,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Evia Island, Greece",POINT (23.695278 38.50855),2025-07-26T17:55:00,2025-07-27T20:51:37.655602,response,True,1,1,"On the 26 July 2025 at 16:41(CET), a wildfire is reported to have affected the area near the village Pisonas, in Evia Island, Greece. The fire expanded rapidly; residents of Afrati and Dokos had to be evacuated, and a 112 cell-broadcasting message was sent for this purpose. Ground forces and aeri...",
EMSR818,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Kythira Island, Greece",POINT (22.97 36.2218),2025-07-26T17:19:00,2025-07-29T13:02:22.920170,response,True,1,3,"On 26 July 2025, a wildfire affected the Attika Region in Greece. A large number of firefighters, ground forces, and volunteers, supported by aerial resources, were mobilized to suppress the fire. Copernicus EMS Rapid Mapping was requested to provide an initial rough estimation and emergency mapp...",
EMSR817,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires in Castilla y Leon Spain,POINT (-4.723278 40.425212),2025-07-24T13:45:00,2025-07-28T09:02:20.120601,response,True,1,1,"On 18 July 2025 at 14:10 hours, a forest fire started in Navaluenga (Avila), Castilla y Leon. The fire was reactivated on several occasions, but as of 23 July 2025, it is under control and we do not expect it to be reactivated. The products generated by this activation will be used to assess the...",
EMSR816,[{'short_name': 'Albania'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Albania,POINT (19.911667 40.923333),2025-07-23T09:26:00,2025-08-07T14:19:40.731692,response,True,2,11,"On 23 July 2025, two major wildfires occurred in Albania. One was located in the southern part of the country, near the village of Dukat, endangering populated areas. The second one was located int the northern part of the country, near the Lure Natural Park.Copernicus EMS Rapid Mapping was reque...",
EMSR815,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Peloponnese, Greece",POINT (22.500687 37.819259),2025-07-22T23:01:00,2025-07-25T15:25:28.095447,response,True,1,3,"On the afternoon of 22 July 2025 at 13:20 UTC, a serious wildfire started in the Northern Peloponnese, at Corinthia near Kastania village, Greece. The residents of Kastania, Kionia, Stymfalia, Matziza, Drosopigi and Kasteri villages had to be evacuated. Copernicus EMS Rapid Mapping is requested t...",
EMSR814,[{'short_name': 'Guatemala'}],"{'slug': 'earthquake', 'name': 'Earthquake'}",Earthquake in Guatemala,POINT (-90.73338 14.54864),2025-07-09T04:10:00,2025-07-18T09:57:44.272595,response,True,15,29,"On 8 July 2025 at 21:41 UTC, a series of earthquakes have affected a portion 20 km away from the City of Guatemala, involving 3 million people. The highest one was 5,6 degrees. The event has caused several incidents like mass movements, landslides, damage to infrastructures and road obstructions....",
EMSR813,[{'short_name': 'Ecuador'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Ecuador,POINT (-78.867302 -3.997158),2025-07-08T19:25:00,2025-07-24T16:32:41.677611,response,True,2,1,"On the 3 July 2025, heavy rainfall is reported to have affected the Amazon region in Ecuador which has resulted in floods and landslides. The event occurred in the
province of Zamora Chinchipe. Copernicus EMS Rapid Mapping was requested to provide initial rough estimation, flood extent and damag...",
EMSR812,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Pauls, Spain",POINT (0.517468 40.87613),2025-07-08T08:53:00,2025-07-16T16:41:30.825638,response,True,1,1,"On 07 July 2025 at 12:40, a wildfire was reported to have affected Pauls (Ribera d'Ebre) in Spain. The event was ongoing and spreading through the forests, evolving unfavorably, with possible damage expected to have affected buildings, infrastructure, and forestry. Copernicus EMS Rapid Mapping wa...",
EMSR811,[{'short_name': 'Syria'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Latakia, Syria",POINT (36.002155 35.789371),2025-07-07T16:28:00,2025-07-25T16:31:57.883010,response,True,1,9,"On the 3 July 2025, a wildfire is reported to have affected Latakia region, Syria. The event occurred in the coastal mountain of Latakia region. Copernicus EMS Rapid Mapping is requested to provide reference, initial rough estimation, wildfire extent and damage assessment emergency mapping.",
EMSR810,[{'short_name': 'Germany'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Saxony, Germany",POINT (13.28557 51.43984),2025-07-03T23:22:00,2025-07-14T09:53:16.510319,response,True,2,5,"On the 2 July 2025 at 14:30, a wildfire has started on a wide area of Saxony Region in the immediate proximity of several villages. Firefighters have been having difficulty getting close to the flames because parts of the wildfires are on a former military training area where there is a risk of a...",
EMSR809,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Crete, Greece",POINT (25.907211 35.045063),2025-07-03T06:42:00,2025-07-04T17:01:21.370125,response,True,1,1,"On 2 July 2025 at 13:12 UTC a wildfire started north of the village Achlia in Crete island 12 Km east-northeast from the city of Ierapetra. The fire expanded rapidly due to the strong winds and threatened the settlements of Agia Fotia, Achlia, Galini, Ferma and Koutsounari. Residents of these set...",
EMSR808,[{'short_name': 'France'}],"{'slug': 'storm', 'name': 'Storm'}","Storm in Gironde Coast, France",POINT (-1.177782 44.356824),2025-06-27T10:39:00,2025-07-02T11:58:41.454109,response,True,10,10,"Following the violent winds that hit the Gironde coast on the night of June 24-25, 2025, the paths dedicated to forest fire defense were heavily cluttered with fallen trees.
This situation was particularly problematic given the upcoming forest fire campaign. The congestion of the paths and the d...",
EMSR807,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Greece,POINT (23.96 37.69),2025-06-26T18:18:00,2025-06-30T14:48:57.962691,response,True,1,2,"On the 26 June 2025 at 09:35, a wildfire started very close to the urban area of Thymari town, 35 km south-southeast from Athens, Greece. The fire expanded rapidly due to the strong winds and threatened the settlements of Thymari and Triandafilia. Residents of these settlements had to be evacuate...",
EMSR806,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires on Chios Island Greece,POINT (26.1 38.37),2025-06-22T15:00:00,2025-06-25T17:48:55.583705,response,True,2,6,"Late morning the 22 June 2025, three wildfires started on Chios Island, Greece. The event is on going and spreading rapidly which are fanned by strong winds.  Many settlements have been evacuated. Copernicus EMS Rapid Mapping is requested to provide initial rough estimation and fire extent monito...",
EMSR805,[{'short_name': 'Mexico'}],"{'slug': 'storm', 'name': 'Storm'}",Tropical Cyclone ERICK-25 in Mexico,POINT (-99.118337 16.681004),2025-06-19T15:08:00,2025-06-24T08:11:56.042736,response,True,7,7,"On June 19, 2025, at 12:00, Tropical Cyclone Erick-25 was predicted to affect the state of Guerrero in Mexico. The most affected municipalities were those located in the coastal area of the state and those located in the Sierra Madre del Sur Mountain range, including the Costa Chica, Costa Grande...",
EMSR804,[{'short_name': 'Germany'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires in western Germany,POINT (7.851641 49.812989),2025-06-14T16:22:00,2025-06-18T08:45:07.591475,response,True,1,1,"On the 14 June 2025 at 14:45 UTC wildfires were reported to have affected Rhineland-Palatinate, Germany. The event was on-going in the vicinity of Bad Kreuznach, Rhineland-Palatinate in impassable, difficult to reach and rugged terrain. Copernicus EMS Rapid Mapping was requested to provide initia...",
EMSR803,[{'short_name': 'Austria'}],"{'slug': 'other', 'name': 'Other'}",Public event in Austria,POINT (17.074398 47.924773),2025-06-06T16:39:00,2025-06-14T14:28:28.632626,response,True,1,4,"Between June 11 and 14, 2025, one of Austria's largest rock festivals will be held in the municipality of Nickelsdorf, Burgenland, attracting more than 200,000 visitors. For the authorities and organizations responsible for public safety, this presents a great challenge every year. Copernicus EMS...",
EMSN222,[{'short_name': 'Germany'}],"{'slug': 'flood', 'name': 'Flood'}","Flood Hazard Simulations for Preparedness Planning in Ditzingen, Germany",POINT (9.04993 48.82891),2025-05-30T13:42:02,2025-08-26T14:04:57.078752,preparedness,True,1,2,"In preparation for future flood events, the City of Ditzingen (Ludwigsburg district, Baden-Württemberg, Germany), has requested tailored flood simulations to support emergency planning and enhance existing municipal risk mitigation strategies. Building on known flood history and existing flood ha...",
EMSR802,[{'short_name': 'Romania'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Romania,POINT (25.929407 45.768595),2025-05-28T17:20:00,2025-06-05T08:33:33.137076,response,True,3,3,"On 26 May 2025 at about 10:00 UTC, a major flood is reported to have affected Covasna and Brasov counties in Romania.  The flood has spread, forcing Romanian Authorities to intervene evacuating affected population. Copernicus EMS Rapid Mapping was requested to provide initial rough estimation, fl...",
EMSN221,[{'short_name': 'Spain'}],"{'slug': 'flood', 'name': 'Flood'}",Flood impact and risk reduction assessment in Iniesta and Motilla del Palancar (Spain),POINT (-1.8308300000000002 39.508),2025-05-07T00:00:00,2025-07-01T09:42:47,preparedness,True,2,2,"A heavy rainfall event on September 19, 2023 led to significant flooding in the municipalities of Iniesta and Motilla del Palancar, Spain. The activation was requested by the General Directorate of Civil Protection and Emergencies (CENEM) on behalf of the Confederación Hidrográfica del Júcar to a...",
EMSN219,"[{'short_name': 'France'}, {'short_name': 'Mayotte'}]","{'slug': 'storm', 'name': 'Storm'}","Post-storm damage assessment in Mayotte, France",POINT (45.14744 -12.82062),2025-04-23T00:00:00,2025-09-30T06:27:12.398167,recovery,True,4,8,"On 14 December 2024, Mayotte experienced its most devastating storm in nearly a century when Cyclone Chido made landfall. Classified as a Category 4 cyclone, Chido brought sustained winds exceeding 200 km/h and gusts up to 225 km/h, accompanied by a relatively modest storm surge of approximately...",
EMSR801,[{'short_name': 'Poland'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Poland,POINT (23.154627 53.854687),2025-04-20T21:17:00,2025-05-06T11:55:32.062060,response,True,1,3,"On the 20 April 2025 at 12:30 UTC, a wildfire started in Biebrza National Park, at the border of the Augustow and Monki districts in northeastern Poland. The fire covered approximately 100 ha. Firefighters were facing difficulties due to warm and windy conditions. Copernicus EMS Rapid Mapping was...",
EMSR800,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Lombardy - Italy,POINT (9.135158 45.117662),2025-04-18T11:00:00,2025-04-22T12:10:35.352972,response,True,2,2,"Intense bad weather hit Northern Italy's regions during the night of 16-17 April. The event was characterised by heavy precipitation, snow and strong winds that persisted the following day. As a consequence, numerous landslides, some disruption of roads and power lines occurred in particular in P...",
